3P3W,Hz=60,MD=15,SEC=2,CT=1,VT=1,INPUT=V1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
      DATE,      TIME,       V12,       V23,       V31,        I1,         I2,       I3,     W_SYS,    VA_SYS,   VAR_SYS,    PF_SYS,     WH_SYS,  VAH_SYS,  VARH_SYS,   PFH_SYS,     W(AD),    VA(AD),     W(MD),    VA(MD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-19,  14:44:55,    364.7V,    365.2V,    367.2V,    97.65A,    88.92A,    98.67A,   52.32KW,  60.18KVA,-29.79KVAR,0.86,  00.03KWH, 00.03KVAH,00.02KVARH,     0.86H,   05.76KW,  10.00KVA,    ------,    ------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-19,  14:44:57,    364.6V,    364.9V,    368.2V,    97.26A,    88.71A,    98.13A,   52.08KW,  59.97KVA,-29.76KVAR,0.86,  00.06KWH, 00.07KVAH,00.03KVARH,     0.86H,   05.76KW,  10.00KVA,    ------,    ------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-19,  14:44:59,    364.5V,    365.3V,    368.1V,    96.96A,    88.89A,    98.31A,   52.14KW,  60.00KVA,-29.70KVAR,0.86,  00.09KWH, 00.10KVAH,00.05KVARH,     0.86H,   05.76KW,  10.00KVA,    ------,    ------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-19,  14:45:01,    364.9V,    365.0V,    367.8V,    96.81A,    88.77A,    97.98A,   52.02KW,  59.85KVA,-29.61KVAR,0.86,  00.12KWH, 00.13KVAH,00.07KVARH,     0.86H,   05.76KW,  10.00KVA,    ------,    ------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-19,  14:45:03,    365.4V,    364.3V,    368.2V,    96.69A,    88.65A,    97.71A,   51.90KW,  59.73KVA,-29.58KVAR,0.86,  00.14KWH, 00.17KVAH,00.08KVARH,     0.86H,   05.76KW,  10.00KVA,    ------,    ------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-19,  14:45:05,    364.4V,    365.5V,    367.8V,    96.60A,    88.53A,    97.62A,   51.84KW,  59.67KVA,-29.55KVAR,0.86,  00.17KWH, 00.20KVAH,00.10KVARH,     0.86H,   05.76KW,  10.00KVA,    ------,    ------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-19,  14:45:07,    365.0V,    364.9V,    367.8V,    96.15A,    88.35A,    97.92A,   51.69KW,  59.61KVA,-29.70KVAR,0.86,  00.20KWH, 00.23KVAH,00.12KVARH,     0.86H,   05.76KW,  10.00KVA,    ------,    ------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-19,  14:45:09,    364.7V,    365.7V,    367.8V,    95.73A,    88.38A,    97.71A,   51.63KW,  59.52KVA,-29.64KVAR,0.86,  00.23KWH, 00.27KVAH,00.13KVARH,     0.86H,   05.76KW,  10.00KVA,    ------,    ------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-19,  14:45:11,    364.9V,    364.9V,    368.3V,    95.82A,    88.11A,    97.59A,   51.57KW,  59.43KVA,-29.55KVAR,0.86,  00.26KWH, 00.30KVAH,00.15KVARH,     0.86H,   05.76KW,  10.00KVA,    ------,    ------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
